	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
204	NaN	2021	4	10	11	0	SPO_NO0143A_5_3173
205	NaN	2021	4	10	12	0	SPO_NO0143A_5_3173
206	NaN	2021	4	10	13	0	SPO_NO0143A_5_3173
207	NaN	2021	4	10	14	0	SPO_NO0143A_5_3173
208	NaN	2021	4	10	15	0	SPO_NO0143A_5_3173
209	NaN	2021	4	10	16	0	SPO_NO0143A_5_3173
210	NaN	2021	4	10	17	0	SPO_NO0143A_5_3173
211	NaN	2021	4	10	18	0	SPO_NO0143A_5_3173
212	NaN	2021	4	10	19	0	SPO_NO0143A_5_3173
213	NaN	2021	4	10	20	0	SPO_NO0143A_5_3173
214	NaN	2021	4	10	21	0	SPO_NO0143A_5_3173
215	NaN	2021	4	10	22	0	SPO_NO0143A_5_3173
216	NaN	2021	4	10	23	0	SPO_NO0143A_5_3173
217	NaN	2021	4	11	0	0	SPO_NO0143A_5_3173
218	NaN	2021	4	11	1	0	SPO_NO0143A_5_3173
219	NaN	2021	4	11	2	0	SPO_NO0143A_5_3173
220	NaN	2021	4	11	3	0	SPO_NO0143A_5_3173
221	NaN	2021	4	11	4	0	SPO_NO0143A_5_3173
222	NaN	2021	4	11	5	0	SPO_NO0143A_5_3173
223	NaN	2021	4	11	6	0	SPO_NO0143A_5_3173
224	NaN	2021	4	11	7	0	SPO_NO0143A_5_3173
225	NaN	2021	4	11	8	0	SPO_NO0143A_5_3173
226	NaN	2021	4	11	9	0	SPO_NO0143A_5_3173
227	NaN	2021	4	11	10	0	SPO_NO0143A_5_3173
228	NaN	2021	4	11	11	0	SPO_NO0143A_5_3173
229	NaN	2021	4	11	12	0	SPO_NO0143A_5_3173
230	NaN	2021	4	11	13	0	SPO_NO0143A_5_3173
231	NaN	2021	4	11	14	0	SPO_NO0143A_5_3173
232	NaN	2021	4	11	15	0	SPO_NO0143A_5_3173
233	NaN	2021	4	11	16	0	SPO_NO0143A_5_3173
234	NaN	2021	4	11	17	0	SPO_NO0143A_5_3173
235	NaN	2021	4	11	18	0	SPO_NO0143A_5_3173
236	NaN	2021	4	11	19	0	SPO_NO0143A_5_3173
237	NaN	2021	4	11	20	0	SPO_NO0143A_5_3173
238	NaN	2021	4	11	21	0	SPO_NO0143A_5_3173
239	NaN	2021	4	11	22	0	SPO_NO0143A_5_3173
240	NaN	2021	4	11	23	0	SPO_NO0143A_5_3173
241	NaN	2021	4	12	0	0	SPO_NO0143A_5_3173
242	NaN	2021	4	12	1	0	SPO_NO0143A_5_3173
243	NaN	2021	4	12	2	0	SPO_NO0143A_5_3173
244	NaN	2021	4	12	3	0	SPO_NO0143A_5_3173
245	NaN	2021	4	12	4	0	SPO_NO0143A_5_3173
246	NaN	2021	4	12	5	0	SPO_NO0143A_5_3173
247	NaN	2021	4	12	6	0	SPO_NO0143A_5_3173
248	NaN	2021	4	12	7	0	SPO_NO0143A_5_3173
249	NaN	2021	4	12	8	0	SPO_NO0143A_5_3173
250	NaN	2021	4	12	9	0	SPO_NO0143A_5_3173
251	NaN	2021	4	12	10	0	SPO_NO0143A_5_3173
252	NaN	2021	4	12	11	0	SPO_NO0143A_5_3173
253	NaN	2021	4	12	12	0	SPO_NO0143A_5_3173
254	NaN	2021	4	12	13	0	SPO_NO0143A_5_3173
255	NaN	2021	4	12	14	0	SPO_NO0143A_5_3173
256	NaN	2021	4	12	15	0	SPO_NO0143A_5_3173
257	NaN	2021	4	12	16	0	SPO_NO0143A_5_3173
258	NaN	2021	4	12	17	0	SPO_NO0143A_5_3173
259	NaN	2021	4	12	18	0	SPO_NO0143A_5_3173
260	NaN	2021	4	12	19	0	SPO_NO0143A_5_3173
261	NaN	2021	4	12	20	0	SPO_NO0143A_5_3173
262	NaN	2021	4	12	21	0	SPO_NO0143A_5_3173
263	NaN	2021	4	12	22	0	SPO_NO0143A_5_3173
264	NaN	2021	4	12	23	0	SPO_NO0143A_5_3173
265	NaN	2021	4	13	0	0	SPO_NO0143A_5_3173
266	NaN	2021	4	13	1	0	SPO_NO0143A_5_3173
267	NaN	2021	4	13	2	0	SPO_NO0143A_5_3173
268	NaN	2021	4	13	3	0	SPO_NO0143A_5_3173
269	NaN	2021	4	13	4	0	SPO_NO0143A_5_3173
270	NaN	2021	4	13	5	0	SPO_NO0143A_5_3173
271	NaN	2021	4	13	6	0	SPO_NO0143A_5_3173
272	NaN	2021	4	13	7	0	SPO_NO0143A_5_3173
273	NaN	2021	4	13	8	0	SPO_NO0143A_5_3173
274	NaN	2021	4	13	9	0	SPO_NO0143A_5_3173
275	NaN	2021	4	13	10	0	SPO_NO0143A_5_3173
276	NaN	2021	4	13	11	0	SPO_NO0143A_5_3173
277	NaN	2021	4	13	12	0	SPO_NO0143A_5_3173
278	NaN	2021	4	13	13	0	SPO_NO0143A_5_3173
279	NaN	2021	4	13	14	0	SPO_NO0143A_5_3173
280	NaN	2021	4	13	15	0	SPO_NO0143A_5_3173
281	NaN	2021	4	13	16	0	SPO_NO0143A_5_3173
282	NaN	2021	4	13	17	0	SPO_NO0143A_5_3173
283	NaN	2021	4	13	18	0	SPO_NO0143A_5_3173
284	NaN	2021	4	13	19	0	SPO_NO0143A_5_3173
285	NaN	2021	4	13	20	0	SPO_NO0143A_5_3173
286	NaN	2021	4	13	21	0	SPO_NO0143A_5_3173
287	NaN	2021	4	13	22	0	SPO_NO0143A_5_3173
