	Files_names	Nan_count	Longest_NaN_gap	Start_date	End_date	conc mean 2020	2020 days conc>50 (microg/m^3)	conc mean 2021	2021 days conc>50 (microg/m^3)	conc mean 2022	 2022 days conc>50 (microg/m^3)	conc mean 2023	 2023 days conc>50 (microg/m^3)	conc mean 2020 jan-june	conc mean 2021 jan-june	conc mean 2022 jan-june	conc mean 2023 jan-june
90	NO_5_56171_PM10_timeseries.txt	1312	531	2020-01-01	2023-08-31	[12.69161335853806]	12	[20.25750030313175]	19	[17.519112308232856]	17	[13.214586994727615]	5	17.010402181318273	25.918870921542535	21.503570605851188	15.745644930985245
91	NO_5_56175_PM10_timeseries.txt	331	128	2020-01-01	2022-12-29	[10.523647641932103]	10	[13.2529985885845]	11	[12.315270491816364]	10	[nan]	0	9.709649538387174	14.899164801912884	14.21823611466252	
92	NO_5_56176_PM10_timeseries.txt	3666	1995	2020-01-01	2023-07-06	[14.401665091908058]	4	[12.73716474747148]	1	[15.430830895260442]	5	[16.849521711768446]	0	15.055326606555122	14.752447565061075	15.810484848484847	16.99346570397112
93	NO_5_60846_PM10_timeseries.txt	1446	1208	2020-01-01	2023-08-31	[16.03894588312189]	21	[16.938663525552787]	15	[16.27746262740996]	20	[17.21529881231918]	13	20.971502103879004	22.13475755721723	21.326209983055815	20.846640822319408
94	NO_5_60855_PM10_timeseries.txt	131	36	2020-01-01	2023-08-31	[14.737396851808695]	6	[16.21343587065357]	3	[16.447867976240484]	10	[15.95158494608353]	0	16.706535244360797	17.364694615064966	20.49089462621111	17.99182524780825
95	NO_5_60863_PM10_timeseries.txt	88	25	2020-01-01	2023-08-31	[11.380436276401515]	1	[11.395695738169561]	0	[12.197298053022946]	0	[10.291876575740774]	0	13.060241548091305	12.26623600228143	14.050290706476014	11.601499890682499
96	NO_5_60865_PM10_timeseries.txt	1687	839	2020-01-01	2023-08-31	[21.26072087816559]	36	[21.378187540384204]	20	[14.256087843148183]	4	[21.75841786061959]	25	29.444568831908363	26.13171068380925	16.1026523798617	26.94398216184384
97	NO_5_60873_PM10_timeseries.txt	160	77	2020-01-01	2023-08-31	[8.57550650753222]	1	[9.932455389108961]	0	[9.699643809821168]	0	[8.698642426079713]	0	9.682498880277459	11.004041254970005	9.478550491891705	9.758272773810292
98	NO_5_62993_PM10_timeseries.txt	532	354	2020-01-01	2023-08-31	[11.064423007454762]	1	[10.991500683097655]	0	[10.875053936194606]	1	[11.622694233265316]	0	11.319474526027992	12.283578506868803	12.900043829296425	11.185980542754736
99	NO_5_63001_PM10_timeseries.txt	67	25	2020-01-01	2023-08-31	[12.611412035884408]	8	[15.11682705660233]	10	[14.671655169188735]	10	[14.013859266123097]	5	10.315878217844986	17.084245470635945	17.10224884837402	15.782360343798345
100	NO_5_64121_PM10_timeseries.txt	2211	1618	2020-01-01	2023-08-31	[9.284797267556902]	0	[14.584574823675197]	10	[10.900222106241415]	3	[10.555318866397942]	1	10.001546763228808	18.153420384856023	13.058246733244241	12.345974471566098
101	NO_5_65114_PM10_timeseries.txt	1716	677	2020-01-01	2023-08-31	[8.718738140329783]	11	[10.135332387754621]	7	[10.321685580527403]	4	[11.85739110091469]	6	8.367860114318756	13.85471143788609	11.778798288598848	13.838283081558862
102	NO_5_65116_PM10_timeseries.txt	856	693	2020-01-01	2023-08-31	[17.091578694243942]	17	[22.817051675454145]	20	[20.74567462138602]	27	[24.634193548387184]	27	20.161205312749768	28.32299598821894	26.42460225962647	31.110901813044503
103	NO_5_65121_PM10_timeseries.txt	1431	887	2020-01-01	2023-08-31	[22.20295913621892]	33	[23.433308060574074]	27	[23.163047153059587]	37	[22.164050078615805]	22	29.1928242747044	29.54647519678631	33.967834331025344	26.84660322419791
104	NO_5_65126_PM10_timeseries.txt	84	25	2020-01-01	2023-08-31	[8.87155194797057]	1	[9.77460962454659]	7	[10.66302519750489]	5	[9.647474259771439]	1	8.17837352409539	11.419040858096336	13.932262622682813	11.039615005909091
105	NO_5_65128_PM10_timeseries.txt	146	25	2020-01-01	2023-08-31	[12.912276069217459]	7	[14.495386821523223]	3	[15.89239647508594]	13	[15.693819266190518]	7	15.072602095061953	16.246748640677726	21.559669800717085	18.16153547827499
106	NO_5_65132_PM10_timeseries.txt	4379	2625	2020-01-01	2023-01-04	[15.36134496410337]	11	[13.173739394823702]	1	[14.327409779454836]	11	[19.31645511666666]	0	19.562678448193896	15.05856207353705	19.321645506459642	19.316455116666667
107	NO_5_69326_PM10_timeseries.txt	1041	238	2020-01-16	2023-08-31	[20.411073429592275]	22	[17.800282498787666]	21	[14.635522651731483]	12	[8.275733404974055]	3	31.15998802327642	24.184614782153563	19.63456948605814	9.215600868791128
