	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
368	9.84999999	2021	2	16	8	0	SPO-SE312888_00005_100
369	10.9	2021	2	16	9	0	SPO-SE312888_00005_100
370	12.76	2021	2	16	10	0	SPO-SE312888_00005_100
371	10.28999999	2021	2	16	11	0	SPO-SE312888_00005_100
372	NaN	2021	2	16	12	0	
373	5.74	2021	2	16	13	0	SPO-SE312888_00005_100
374	5.96999999	2021	2	16	14	0	SPO-SE312888_00005_100
375	4.12999999	2021	2	16	15	0	SPO-SE312888_00005_100
376	3.37999999	2021	2	16	16	0	SPO-SE312888_00005_100
377	3.0	2021	2	16	17	0	SPO-SE312888_00005_100
378	2.68	2021	2	16	18	0	SPO-SE312888_00005_100
379	3.18	2021	2	16	19	0	SPO-SE312888_00005_100
380	2.66	2021	2	16	20	0	SPO-SE312888_00005_100
381	1.6	2021	2	16	21	0	SPO-SE312888_00005_100
382	1.07	2021	2	16	22	0	SPO-SE312888_00005_100
383	1.14999999	2021	2	16	23	0	SPO-SE312888_00005_100
384	0.91	2021	2	17	0	0	SPO-SE312888_00005_100
385	0.88	2021	2	17	1	0	SPO-SE312888_00005_100
386	1.07	2021	2	17	2	0	SPO-SE312888_00005_100
387	1.24	2021	2	17	3	0	SPO-SE312888_00005_100
388	1.24	2021	2	17	4	0	SPO-SE312888_00005_100
389	1.11	2021	2	17	5	0	SPO-SE312888_00005_100
390	1.16999999	2021	2	17	6	0	SPO-SE312888_00005_100
391	1.34	2021	2	17	7	0	SPO-SE312888_00005_100
392	1.62999999	2021	2	17	8	0	SPO-SE312888_00005_100
393	2.27	2021	2	17	9	0	SPO-SE312888_00005_100
394	2.48	2021	2	17	10	0	SPO-SE312888_00005_100
395	2.18	2021	2	17	11	0	SPO-SE312888_00005_100
396	2.54999999	2021	2	17	12	0	SPO-SE312888_00005_100
397	2.31	2021	2	17	13	0	SPO-SE312888_00005_100
398	2.31	2021	2	17	14	0	SPO-SE312888_00005_100
399	2.66	2021	2	17	15	0	SPO-SE312888_00005_100
400	2.68	2021	2	17	16	0	SPO-SE312888_00005_100
401	2.47	2021	2	17	17	0	SPO-SE312888_00005_100
402	2.73	2021	2	17	18	0	SPO-SE312888_00005_100
403	2.85	2021	2	17	19	0	SPO-SE312888_00005_100
404	2.41	2021	2	17	20	0	SPO-SE312888_00005_100
405	2.5	2021	2	17	21	0	SPO-SE312888_00005_100
406	2.35	2021	2	17	22	0	SPO-SE312888_00005_100
407	2.21	2021	2	17	23	0	SPO-SE312888_00005_100
408	1.87999999	2021	2	18	0	0	SPO-SE312888_00005_100
409	1.75	2021	2	18	1	0	SPO-SE312888_00005_100
410	1.61	2021	2	18	2	0	SPO-SE312888_00005_100
411	1.74	2021	2	18	3	0	SPO-SE312888_00005_100
412	1.8	2021	2	18	4	0	SPO-SE312888_00005_100
413	1.83	2021	2	18	5	0	SPO-SE312888_00005_100
414	1.90999999	2021	2	18	6	0	SPO-SE312888_00005_100
415	2.43	2021	2	18	7	0	SPO-SE312888_00005_100
416	2.87999999	2021	2	18	8	0	SPO-SE312888_00005_100
417	3.12999999	2021	2	18	9	0	SPO-SE312888_00005_100
418	3.12999999	2021	2	18	10	0	SPO-SE312888_00005_100
419	2.96	2021	2	18	11	0	SPO-SE312888_00005_100
420	3.83999999	2021	2	18	12	0	SPO-SE312888_00005_100
421	4.08	2021	2	18	13	0	SPO-SE312888_00005_100
422	3.89999999	2021	2	18	14	0	SPO-SE312888_00005_100
423	4.29999999	2021	2	18	15	0	SPO-SE312888_00005_100
424	4.49	2021	2	18	16	0	SPO-SE312888_00005_100
425	4.83999999	2021	2	18	17	0	SPO-SE312888_00005_100
426	4.87	2021	2	18	18	0	SPO-SE312888_00005_100
427	5.25999999	2021	2	18	19	0	SPO-SE312888_00005_100
428	5.83	2021	2	18	20	0	SPO-SE312888_00005_100
429	5.49	2021	2	18	21	0	SPO-SE312888_00005_100
430	5.55999999	2021	2	18	22	0	SPO-SE312888_00005_100
431	5.30999999	2021	2	18	23	0	SPO-SE312888_00005_100
432	5.5	2021	2	19	0	0	SPO-SE312888_00005_100
433	5.45999999	2021	2	19	1	0	SPO-SE312888_00005_100
434	4.63999999	2021	2	19	2	0	SPO-SE312888_00005_100
435	5.0	2021	2	19	3	0	SPO-SE312888_00005_100
